gene_id,gene_symbol,pseudobulk_target,pseudobulk_other,cpm_target,cpm_other,log2_fold_change,pct_expressed_target,pct_expressed_other
ENSG00000157554,ERG,215.0,5962.0,74.31424,12.35979,2.4950254,51.4018691588785,5.394864203154358
ENSG00000011465,DCN,64.0,1616.0,22.121447,3.3501208,2.4101045,23.364485981308412,1.8447873370153163
ENSG00000188107,EYS,363.0,11010.0,125.47008,22.824772,2.4082618,39.25233644859813,15.464328417696294
ENSG00000132274,TRIM22,138.0,4027.0,47.69937,8.3483515,2.3811193,49.532710280373834,7.532881626145875
ENSG00000230426,LINC01036,122.0,3572.0,42.16901,7.405094,2.36066,14.018691588785046,7.456015487103571
ENSG00000286251,LOC105377411,98.0,2795.0,33.873463,5.794299,2.3597329,11.214953271028037,2.2234242441496326
ENSG00000187720,THSD4,267.0,8385.0,92.28791,17.382898,2.3433259,45.794392523364486,12.472242783123612
ENSG00000046604,DSG2,30.0,626.0,10.369429,1.2977571,2.3068614,17.75700934579439,1.5173945225758698
ENSG00000165105,RASEF,46.0,1185.0,15.89979,2.456617,2.2895725,22.429906542056074,1.876103171439959
ENSG00000256870,SLC5A8,191.0,6134.0,66.01869,12.716362,2.2886655,49.532710280373834,8.176279678870351
ENSG00000103316,CRYM,589.0,19909.0,203.58644,41.27324,2.274894,64.48598130841121,21.81859591186016
ENSG00000101180,HRH3,163.0,5263.0,56.34056,10.910697,2.2672982,47.66355140186916,9.799009280874566
ENSG00000154188,ANGPT1,174.0,5735.0,60.142685,11.889197,2.2460175,38.31775700934579,7.41900586460172
ENSG00000286780,ENSG00000286780,118.0,3852.0,40.78642,7.98556,2.2173538,22.429906542056074,4.737231680236861
ENSG00000258107,ENSG00000258107,66.0,2016.0,22.812742,4.1793585,2.2008884,26.168224299065418,4.36144166714115
ENSG00000272381,LINC02664,113.0,3723.0,39.05818,7.718131,2.200006,34.57943925233645,7.3535273017138305
ENSG00000127152,BCL11B,876.0,31411.0,302.7873,65.11797,2.199947,80.37383177570094,28.46324659796162
ENSG00000056291,NPFFR2,195.0,6750.0,67.40128,13.993388,2.189697,22.429906542056074,4.167852872516085
ENSG00000151892,GFRA1,261.0,9242.0,90.21403,19.15954,2.177793,58.87850467289719,13.573990776063315
ENSG00000153820,SPHKAP,758.0,27765.0,262.0009,57.55947,2.1670933,71.02803738317756,17.04435460912145
ENSG00000188783,PRELP,70.0,2233.0,24.195333,4.6292205,2.1621494,28.037383177570092,4.529408415418778
ENSG00000176641,RNF152,175.0,6341.0,60.48833,13.145493,2.1199703,47.66355140186916,8.970563115640836
ENSG00000288004,ENSG00000288004,75.0,2530.0,25.92357,5.2449293,2.1081126,17.75700934579439,2.0298354495245685
ENSG00000255733,IFNG-AS1,216.0,8053.0,74.65988,16.69463,2.096217,28.037383177570092,4.1991687069407275
ENSG00000101447,FAM83D,50.0,1586.0,17.282381,3.2879279,2.0921016,28.037383177570092,3.9059386209645277
ENSG00000232153,ENSG00000232153,38.0,1118.0,13.134608,2.3177197,2.090968,15.887850467289718,2.0099071912543414
ENSG00000095777,MYO3A,38.0,1161.0,13.134608,2.406863,2.052716,20.5607476635514,2.7387120651369354
ENSG00000156218,ADAMTSL3,603.0,23930.0,208.4255,49.609154,2.048967,70.09345794392523,29.075328816261457
ENSG00000287844,ENSG00000287844,60.0,2053.0,20.738857,4.256063,2.0482216,24.299065420560748,4.250412799635598
ENSG00000203867,RBM20,200.0,7940.0,69.129524,16.460371,2.0059376,60.747663551401864,9.445994420087684
ENSG00000168672,LRATD2,49.0,1691.0,16.936731,3.505603,1.993125,26.168224299065418,4.187781130786313
ENSG00000183036,PCP4,669.0,28521.0,231.23824,59.12673,1.949527,65.42056074766354,19.003017707680918
ENSG00000229425,LOC105369302,1797.0,77235.0,621.1288,160.11546,1.9491183,49.532710280373834,16.987416728349373
